epoch,loss,data_loss,pde_loss,loss_E_bc,loss_dE_bc
179,0.0627717524766922,0.2079324573278427,0.06277009844779968,1.1678054356867307e-10,1.657278289712849e-06
180,0.060438014566898346,0.20928891003131866,0.06043528765439987,1.5326037661189673e-10,2.7265434709988767e-06
181,0.0633716881275177,0.20796775817871094,0.06336982548236847,7.633647880478378e-11,1.8619798538566101e-06
182,0.0567258857190609,0.20037509500980377,0.05672401934862137,1.4089461541910708e-10,1.867296646196337e-06
183,0.05975624918937683,0.20968638360500336,0.05975392088294029,1.4164824868601045e-10,2.3290356239158427e-06
184,0.06192801147699356,0.2070680856704712,0.06192507967352867,1.1513136971563753e-10,2.930024265879183e-06
185,0.06099984049797058,0.20365393161773682,0.06099827215075493,1.0032557423711452e-10,1.569904270581901e-06
186,0.0550675131380558,0.2097848504781723,0.05506505072116852,8.136544216164054e-11,2.4620112526463345e-06
187,0.05747875198721886,0.20866940915584564,0.05747605487704277,1.022317994148203e-10,2.696250476219575e-06
188,0.06382446736097336,0.20338422060012817,0.06382103264331818,1.315654113431819e-10,3.4352062812104123e-06
189,0.055613335222005844,0.20137076079845428,0.05561073124408722,9.26834373138341e-11,2.603551138236071e-06
190,0.05799059569835663,0.20992451906204224,0.0579892098903656,1.1819321910078173e-10,1.3848773505742429e-06
191,0.05236967280507088,0.20458529889583588,0.052367910742759705,1.053899051361995e-10,1.763623686201754e-06
192,0.048530176281929016,0.20769889652729034,0.04852726310491562,1.343557348709723e-10,2.914088781835744e-06
193,0.05090633034706116,0.20620310306549072,0.05090511590242386,6.93271551277519e-11,1.2152938779763645e-06
194,0.0513843335211277,0.20720703899860382,0.05138244852423668,9.403503670180058e-11,1.8854129848477896e-06
195,0.048221126198768616,0.21414543688297272,0.048220399767160416,7.707480487173513e-11,7.250647513501463e-07
196,0.052283693104982376,0.20626430213451385,0.05228147655725479,7.936597906654796e-11,2.2151784833113197e-06
197,0.05218582972884178,0.20031048357486725,0.05218363180756569,1.2799712678646102e-10,2.198959009547252e-06
198,0.05414840206503868,0.205835223197937,0.05414589121937752,1.0320722054757425e-10,2.509217893020832e-06
199,0.04383963346481323,0.2045987844467163,0.04383736103773117,1.4411498383548604e-10,2.272234496558667e-06
200,0.05159924924373627,0.21046201884746552,0.05159733071923256,1.1347051076526782e-10,1.9175117813574616e-06
201,0.046093154698610306,0.21131640672683716,0.04609129577875137,1.3558368316957115e-10,1.8580343521534814e-06
202,0.04510313272476196,0.2056097835302353,0.045100681483745575,1.0288484647569263e-10,2.449749445077032e-06
203,0.049957774579524994,0.20548999309539795,0.04995672404766083,8.864848438649986e-11,1.0517481996430433e-06
204,0.047947004437446594,0.20284049212932587,0.047945182770490646,1.263302101817132e-10,1.8217785964225186e-06
205,0.04519587382674217,0.20779554545879364,0.0451938733458519,1.314773567795413e-10,2.000476342800539e-06
206,0.04350103810429573,0.20753037929534912,0.04349962994456291,6.946453134926145e-11,1.4087564750298043e-06
